site,roll,filename,exif-datetime,filedatetime
32A,R1,NIA_S1_32A_R1_IMAG0142.JPG,2016:10:21 10:48:19,2017:08:31 18:52:53
32A,R1,NIA_S1_32A_R1_IMAG0143.JPG,2016:10:21 10:48:24,2017:08:31 18:52:53
32A,R1,NIA_S1_32A_R1_IMAG0144.JPG,2016:10:21 10:48:29,2017:08:31 18:52:53
32A,R1,NIA_S1_32A_R1_IMAG0145.JPG,2016:10:21 10:48:52,2017:08:31 18:52:53
32A,R1,NIA_S1_32A_R1_IMAG0146.JPG,2016:10:21 10:50:35,2017:08:31 18:52:53
32A,R1,NIA_S1_32A_R1_IMAG0147.JPG,2016:10:21 10:50:53,2017:08:31 18:52:53
32A,R1,NIA_S1_32A_R1_IMAG0148.JPG,2016:10:21 10:50:58,2017:08:31 18:52:53
32A,R1,NIA_S1_32A_R1_IMAG0149.JPG,2016:10:21 10:51:03,2017:08:31 18:52:53
32A,R1,NIA_S1_32A_R1_IMAG0150.JPG,2016:10:21 10:51:10,2017:08:31 18:52:51
32A,R1,NIA_S1_32A_R1_IMAG0151.JPG,2016:10:21 10:51:51,2017:08:31 18:52:51
32A,R1,NIA_S1_32A_R1_IMAG0152.JPG,2016:10:21 10:51:56,2017:08:31 18:52:51
32A,R1,NIA_S1_32A_R1_IMAG0153.JPG,2016:10:21 10:54:15,2017:08:31 18:52:51
32A,R1,NIA_S1_32A_R1_IMAG0154.JPG,2016:10:21 10:56:06,2017:08:31 18:52:51
32A,R1,NIA_S1_32A_R1_IMAG0155.JPG,2016:10:25 09:43:11,2017:08:31 18:52:51
32A,R1,NIA_S1_32A_R1_IMAG0156.JPG,2016:10:27 06:53:57,2017:08:31 18:52:51
32A,R1,NIA_S1_32A_R1_IMAG0157.JPG,2016:10:29 11:49:43,2017:08:31 18:52:51
33A,R1,NIA_S1_33A_R1_IMAG0001.JPG,2016:10:16 02:32:22,2017:08:31 18:53:02
