site,roll,filename,exif-datetime,filedatetime
22A,R1,NIA_S1_22A_R1_IMAG0081.JPG,2016:11:08 11:09:39,2017:08:31 17:46:33
22A,R1,NIA_S1_22A_R1_IMAG0082.JPG,2016:11:08 11:14:39,2017:08:31 17:46:33
22A,R1,NIA_S1_22A_R1_IMAG0083.JPG,2016:11:08 11:14:55,2017:08:31 17:46:33
22A,R1,NIA_S1_22A_R1_IMAG0084.JPG,2016:11:08 12:49:03,2017:08:31 17:46:33
22A,R1,NIA_S1_22A_R1_IMAG0085.JPG,2016:11:08 12:49:22,2017:08:31 17:46:33
22A,R1,NIA_S1_22A_R1_IMAG0086.JPG,2016:11:08 12:49:37,2017:08:31 17:46:39
22A,R1,NIA_S1_22A_R1_IMAG0087.JPG,2016:11:08 12:49:52,2017:08:31 17:46:39
22A,R1,NIA_S1_22A_R1_IMAG0088.JPG,2016:11:08 12:50:09,2017:08:31 17:46:39
22A,R1,NIA_S1_22A_R1_IMAG0089.JPG,2016:11:09 08:28:34,2017:08:31 17:46:29
22A,R1,NIA_S1_22A_R1_IMAG0090.JPG,2016:11:09 11:09:15,2017:08:31 17:46:29
22A,R1,NIA_S1_22A_R1_IMAG0091.JPG,2016:11:09 11:25:06,2017:08:31 17:46:29
22A,R1,NIA_S1_22A_R1_IMAG0092.JPG,2016:11:09 11:25:43,2017:08:31 17:46:29
22A,R1,NIA_S1_22A_R1_IMAG0093.JPG,2016:11:09 12:10:44,2017:08:31 17:46:29
22A,R1,NIA_S1_22A_R1_IMAG0094.JPG,2016:11:09 12:12:38,2017:08:31 17:46:30
22A,R1,NIA_S1_22A_R1_IMAG0095.JPG,2016:11:09 12:35:54,2017:08:31 17:46:30
22A,R1,NIA_S1_22A_R1_IMAG0096.JPG,2016:11:09 12:36:33,2017:08:31 17:46:30
22A,R1,NIA_S1_22A_R1_IMAG0097.JPG,2016:11:09 12:42:49,2017:08:31 17:46:30
22A,R1,NIA_S1_22A_R1_IMAG0098.JPG,2016:11:10 08:45:59,2017:08:31 17:46:30
22A,R1,NIA_S1_22A_R1_IMAG0099.JPG,2016:11:10 09:12:55,2017:08:31 17:46:30
22A,R1,NIA_S1_22A_R1_IMAG0100.JPG,2016:11:10 09:57:08,2017:08:31 17:46:30
22A,R1,NIA_S1_22A_R1_IMAG0101.JPG,2016:11:10 10:23:20,2017:08:31 17:46:30
22A,R1,NIA_S1_22A_R1_IMAG0102.JPG,2016:11:10 11:02:18,2017:08:31 17:46:30
22A,R1,NIA_S1_22A_R1_IMAG0103.JPG,2016:11:10 11:02:54,2017:08:31 17:46:30
22A,R1,NIA_S1_22A_R1_IMAG0104.JPG,2016:11:10 11:03:46,2017:08:31 17:46:30
22A,R1,NIA_S1_22A_R1_IMAG0105.JPG,2016:11:10 11:04:04,2017:08:31 17:46:30
22A,R1,NIA_S1_22A_R1_IMAG0106.JPG,2016:11:10 11:04:35,2017:08:31 17:46:30
22A,R1,NIA_S1_22A_R1_IMAG0107.JPG,2016:11:10 11:05:40,2017:08:31 17:46:30
